Number|Station name                             |Latitude|Longitud|Stat|Elevat.|Distance (km)
 15540|ALICE SPRINGS POST OFFICE                |-23.7100|133.8683|NT  |  580.0|  0.0
 15590|ALICE SPRINGS AIRPORT                    |-23.7951|133.8890|NT  |  546.0|  8.8
 15623|UNDOOLYA                                 |-23.6939|134.0352|NT  |  558.0| 16.8
 15631|BOND SPRINGS HOMESTEAD                   |-23.5406|133.9211|NT  |  764.0| 17.7
 15564|OWEN SPRINGS                             |-23.8754|133.4704|NT  |  598.0| 43.1
 15501|YAMBAH                                   |-23.1274|133.8360|NT  |  700.0| 58.3
 15553|HAMILTON DOWNS                           |-23.5092|133.2677|NT  |  594.0| 63.3
 15645|DEEP WELL                                |-24.2992|134.1439|NT  |  434.0| 65.0
 15619|TODD RIVER                               |-23.8398|134.5089|NT  |  427.0| 65.4
 15617|SANTA TERESA                             |-24.1308|134.3736|NT  |  427.0| 65.8
 15521|THE GARDEN                               |-23.2837|134.4229|NT  |  678.0| 70.0
 15508|ALLAMBI                                  |-24.2691|134.4028|NT  |  366.0| 77.3
 15594|ARLTUNGA                                 |-23.4564|134.6849|NT  |  661.0| 85.5
 15615|RODINGA RAILWAY SIDING                   |-24.5567|134.0817|NT  |  386.0| 87.3
 15588|AMBALINDUM                               |-23.3845|134.6841|NT  |  656.0| 87.8
 15536|MARYVALE                                 |-24.6685|134.0721|NT  |  365.0| 98.0
 15552|HENBURY                                  |-24.5521|133.2520|NT  |  432.0|104.4
 15503|MOUNT RIDDOCK                            |-23.0364|134.6801|NT  |  606.0|105.5
 15593|ALCOOTA                                  |-22.8211|134.4508|NT  |  595.5|106.3
 15546|RINGWOOD                                 |-23.8287|134.9556|NT  |  416.0|109.4
 15531|HERMANNSBURG                             |-23.9450|132.7749|NT  |  565.0|111.8
 15633|PALM VALLEY                              |-24.0637|132.7448|NT  |  520.0|117.8
 15543|AILERON                                  |-22.6459|133.3457|NT  |  684.0|118.6
 15533|BUNDOOMA RAILWAY SIDING                  |-24.8983|134.2567|NT  |  353.0|125.0
 15643|TERRITORY GRAPE FARM                     |-22.4518|133.6377|NT  |  565.6|127.9
 15524|IDRACOWRA                                |-24.9949|133.7876|NT  |  366.0|128.7
 15626|WOODGREEN                                |-22.3959|134.2333|NT  |  564.0|136.4
 15661|MOUNT SKINNER                            |-22.2109|134.1182|NT  |  530.0|152.0
 15557|TEMPE DOWNS                              |-24.3996|132.4525|NT  |  518.0|157.5
 15577|DELMORE DOWNS                            |-22.4515|134.8189|NT  |  503.0|157.7
 15610|INDIANA                                  |-23.3292|135.4400|NT  |  442.0|161.7
 15583|AREYONGA                                 |-24.0732|132.2712|NT  |  673.0|163.8
 15518|NAPPERBY                                 |-22.5096|132.7525|NT  |  652.0|163.9
 15520|TEA TREE WELL                            |-22.1333|133.4167|NT  |  552.0|164.0
 15523|GLEN HELEN                               |-23.4062|132.2437|NT  |  669.0|165.3
 15574|ERLDUNDA                                 |-25.2219|133.1955|NT  |  406.0|165.5
 15614|RUMBALARA                                |-25.3333|134.4833|NT  |  320.0|173.6
 15601|THE DERWENT                              |-23.1728|132.1498|NT  |  604.0|180.1
 15567|CENTRAL MOUNT WEDGE                      |-22.7415|132.1554|NT  |  616.0|196.8
